Competidor,Haul,OrgDesCont,22,21,20,19,18
ABX,SH,EUR-NAM,,LUN: cvg-EMA-CVG-SJU-CVG-EMA-CVG-EMA-cvg (N219CY),LUN: cvg-EMA-CVG-EMA-cvg (N219CY),JUE: rms-TER-WRI-NGU-NBW*-NGU-CVG-RFD-ONT-atl (N312AA),LUN: cvg-MIA-BOG-MIA-bna (N312AA)
ABX,SH,EUR-NAM,,MAR: cvg-EMA-CVG-PHX-SAN-PHX-CVG-MIA*-BOG-mia (N317CM),MAR: cvg-EMA-CVG-EMA-cvg (N219CY),,JUE: cvg-MIA-CCS*-BOG-MIA-bna (N226CY)
ABX,SH,EUR-NAM,,MIE: cvg-EMA-CVG-EMA-cvg (N219CY),MIE: cvg-EMA-CVG-EMA-cvg (N219CY),,VIE: cvg-MIA-BOG-MIA-bna (N364CM)
ABX,SH,EUR-NAM,,JUE: cvg-EMA-CVG-PHX-SAN-PHX-CVG-SJU-cvg (N219CY),JUE: cvg-EMA-CVG-EMA-cvg (N219CY),,
ABX,SH,EUR-NAM,,JUE: rms-TER-WRI-NGU-NBW*-ORF-NBW-NGU*-NBW-NGU-cvg (N312AA),VIE: cvg-EMA-CVG-EMA-cvg (N219CY),,
ABX,SH,EUR-NAM,,MAR: cvg-MIA-CCS*-BOG-MIA-cvg (N362CM),LUN: cvg-MIA-BOG-MIA-cvg (N364CM),,
ABX,SH,EUR-NAM,,,VIE: cvg-MIA-BOG-MIA-cvg (N364CM),,
ASLAirlinesBelgium,SH,ASIA-EUR,LUN: lgg-PVG-LGG-jfk (OE-IFB),LUN: lgg-PVG-LGG-JFK*-YHZ-LGG-PVG-LGG-PVG-lgg (OE-IFD),LUN: lgg-PVG-LGG-JFK*-YHZ-LGG-PVG-LGG-ORD-yhz (OE-IFB),MAR: ovb-HGH-OVB-LGG-OVB-LGG-PVG-LGG-ovb (OE-ILC),LUN: lgg-TLV-VIE-LGG-VIE-TLV-VIE-LGG-vie (OE-IMC)
ASLAirlinesBelgium,SH,ASIA-EUR,LUN: lgg-TLV-VIE-LGG-VIE-TLV-VIE-LGG-vie (OE-IMC),LUN: lgg-TLV-VIE-LGG-VIE-TLV-VIE-LGG-vie (OE-IMC),LUN: lgg-HGH-LGG-HGH-lgg (OE-IFD),MAR: vie-TLV-VIE-LGG-VIE-TLV-VIE-LGG-vie (OE-IMC),MAR: lgg-TNA-LGG-TNA-lgg (OE-IFB)
ASLAirlinesBelgium,SH,ASIA-EUR,MAR: vie-TLV-VIE-LGG-VIE-tlv (OE-IMC),MAR: lgg-HGH-LGG-ORD-YHZ-LGG-HGH-LGG-hgh (OE-IFB),LUN: lgg-TLV-VIE-LGG-VIE-TLV-VIE-LGG-ath (OE-IMC),MIE: vie-TLV-VIE-LGG-VIE-TLV-VIE-LGG-vce (OE-IMC),MAR: ovb-PVG-LGG*-OVB-LGG-JFK-YHZ-LGG-OVB-pvg (OE-IFD)
ASLAirlinesBelgium,SH,ASIA-EUR,,MAR: lgg-TNA-LGG-TNA-lgg (OE-ILC),MAR: lgg-HGH-LGG-JFK-YHZ*-LGG-HGH-LGG-PVG-lgg (OE-IFD),JUE: ovb-PVG-LGG*-OVB-LGG-ORD-YHZ-LGG-JFK-yhz (OE-IFD),MAR: ovb-HGH-OVB-LGG-PVG*-OVB-PVG-LGG*-OVB-LGG-tna (OE-ILC)
ASLAirlinesBelgium,SH,ASIA-EUR,,MAR: vie-TLV-VIE-LGG-VIE-TLV-VIE-LGG-vie (OE-IMC),MAR: lgg-TNA-LGG-TNA-lgg (OE-ILC),JUE: vie-TLV-VIE-LGG-VCE-MXP-LGG-TLV-lgg (OE-IMC),MAR: vie-TLV-VIE-LGG-VIE-TLV-VIE*-LGG-VIE-tlv (OE-IMC)
ASLAirlinesBelgium,SH,ASIA-EUR,,MIE: vie-TLV-VIE-LGG-VIE-TLV-VIE-LGG-blq (OE-IMC),MAR: vie-TLV-VIE-LGG-ATH-LCA-ATH-VCE*-MRS-lgg (OE-IMC),VIE: lgg-PVG-LGG-OVB-TNA-OVB-LGG-TNA-lgg (OE-ILC),MIE: vie-TLV-VIE*-LGG-VIE-TLV-VIE-LGG-TLV-lgg (OE-IMC)
ASLAirlinesBelgium,SH,ASIA-EUR,,JUE: lgg-PVG-LGG-PVG-lgg (OE-IFD),MIE: vie-TLV-VIE-LGG-ERF-KTW-LGG-MAD-lgg (OE-IAC),SAB: lgg-TLV-LGG-TLV-vie (OE-IMC),JUE: lgg-TNA-LGG*-AMS-LGG-PVG-LGG-PVG-LGG-jfk (OE-IFB)
ASLAirlinesBelgium,SH,ASIA-EUR,,JUE: lgg-TNA-LGG-ams (OE-ILC),JUE: vie-TLV-VIE-LGG-ERF-KTW-LGG*-MUC-LJU*-MUC-lgg (OE-IBI),DOM: lgg-PVG-LGG-PVG-lgg (OE-IFB),JUE: vie-TLV-VIE-LGG-TLV-LGG-MAD-LGG-vie (OE-IMC)
ASLAirlinesBelgium,SH,ASIA-EUR,,JUE: vie-TLV-VIE-LGG-BLQ-LGG-TLV-LGG-tlv (OE-IMC),JUE: lgg-PVG-LGG-ORD-YHZ-LGG-JFK-YHZ-lgg (OE-IFB),DOM: ovb-TNA-OVB-LGG-TNA-LGG-TNA-LGG-hgh (OE-ILC),VIE: ovb-HGH-OVB-LGG-JFK-YHZ-LGG-ORD-yhz (OE-IFD)
ASLAirlinesBelgium,SH,ASIA-EUR,,VIE: lgg-HGH-LGG-HGH-lgg (OE-IFB),JUE: lgg-HGH-LGG-PVG-lgg (OE-IFD),MAR: yhz-LGG-JFK*-YHZ-LGG-pvg (OE-IFD),VIE: ovb-PVG-LGG*-OVB-LGG-TNA-LGG-OVB-HGH-ovb (OE-ILC)
ASLAirlinesBelgium,SH,ASIA-EUR,,VIE: lgg-PVG-LGG-JFK-YHZ-LGG-HGH-LGG-tna (OE-IFD),JUE: lgg-TNA-LGG-HGH-lgg (OE-ILC),VIE: ovb-LGG-ORD-YHZ-LGG-JFK-YHZ-LGG-hgh (OE-IFD),SAB: lgg-TLV-LGG-MAD-LGG-VIE-TLV-VIE-lgg (OE-IMC)
ASLAirlinesBelgium,SH,ASIA-EUR,,SAB: lgg-HGH-LGG-PVG-lgg (OE-IFB),VIE: lgg-HGH-LGG-TNA-lgg (OE-ILC),SAB: yhz-LGG-JFK-YHZ-LGG-HGH-LGG-HGH-lgg (OE-IFD),DOM: lgg-TNA-LGG-OVB-HGH-OVB-LGG-OVB-lgg (OE-ILC)
ASLAirlinesBelgium,SH,ASIA-EUR,,SAB: lgg-TLV-LGG-TLV-vie (OE-IMC),SAB: lgg-PVG-LGG-PVG-lgg (OE-IFD),,MAR: ovb-LGG-JFK-YHZ-LGG-OVB-PVG*-OVB-LGG-ovb (OE-IFD)
ASLAirlinesBelgium,SH,ASIA-EUR,,DOM: lgg-PVG-LGG-PVG-lgg (OE-IFB),SAB: lgg-TLV-LGG-TLV-vie (OE-IMC),,SAB: ovb-LGG-JFK-YHZ-LGG-ORD-YHZ-LGG-jfk (OE-IFD)
ASLAirlinesBelgium,SH,ASIA-EUR,,DOM: lgg-HGH-LGG-TNA-lgg (OE-IFD),DOM: lgg-HGH-LGG-HGH-lgg (OE-IFB),,DOM: yhz-LGG-ORD-YHZ-LGG-JFK*-YHZ-LGG-PVG*-OVB-pvg (OE-IFD)
ASLAirlinesBelgium,SH,ASIA-EUR,,MAR: pvg-LGG-JFK*-YHZ-LGG-pvg (OE-IFD),DOM: lgg-PVG-LGG-PVG-lgg (OE-IFD),,
ASLAirlinesBelgium,SH,ASIA-EUR,,MIE: hgh-LGG-ORD-YHZ-LGG-HGH-LGG-HGH-lgg (OE-IFB),DOM: lgg-TNA-LGG-TNA-lgg (OE-ILC),,
ASLAirlinesBelgium,SH,ASIA-EUR,,SAB: pvg-LGG-JFK-YHZ-LGG-HGH-LGG-TNA-lgg (OE-IFD),MAR: pvg-LGG-JFK*-YHZ-LGG-pvg (OE-IFB),,
ASLAirlinesBelgium,SH,ASIA-EUR,,,MIE: hgh-LGG-JFK-YHZ*-LGG-HGH-LGG-PVG-LGG-pvg (OE-IFD),,
ASLAirlinesBelgium,SH,ASIA-EUR,,,VIE: pvg-LGG-ORD-YHZ-LGG-JFK-YHZ-LGG-hgh (OE-IFB),,
ASLAirlinesBelgium,SH,ASIA-EUR,,,SAB: yhz-LGG-JFK-YHZ-LGG-HGH-LGG-HGH-lgg (OE-IFB),,
AerLingus,SH,ASIA-EUR,LUN: dub-PEK-DUB-PEK-dub (EI-EDY),LUN: dub-PEK-DUB-PEK-dub (EI-EDY),LUN: dub-PEK-DUB-PEK-dub (EI-EDY),LUN: dub-PEK-DUB-PEK-dub (EI-EDY),LUN: dub-PEK-DUB-JFK-DUB-PEK-DUB-PEK-dub (EI-EAV)
AerLingus,SH,ASIA-EUR,LUN: dub-PEK-DUB-PEK-dub (EI-ELA),LUN: dub-PEK-DUB-PEK-dub (EI-ELA),LUN: dub-PEK-DUB-PEK-dub (EI-ELA),LUN: dub-PEK-DUB-PEK-dub (EI-ELA),LUN: dub-PEK-DUB-PEK-dub (EI-EDY)
AerLingus,SH,ASIA-EUR,LUN: dub-PEK-DUB-pek (EI-GAJ),LUN: dub-PEK-DUB-PEK-dub (EI-FNG),LUN: dub-PEK-DUB-PEK-dub (EI-FNG),LUN: dub-PEK-DUB-PEK-dub (EI-GCF),MAR: dub-PEK-DUB-ORD-DUB-PEK-DUB-PEK-dub (EI-DUZ)
AerLingus,SH,ASIA-EUR,LUN: dub-PEK-DUB-pek (EI-GCF),LUN: dub-PEK-DUB-PEK-dub (EI-FNH),LUN: dub-PEK-DUB-PEK-dub (EI-FNH),MAR: dub-PEK-DUB-PEK-dub (EI-DUZ),MAR: dub-PEK-DUB-PEK-dub (EI-GCF)
